,name,city,content,score,date
16,咱说,"
        <span class=""profile-verify transparent"">
          作者
        </span>
      ","管虎，5.5分，败笔很多，用倒计时的字幕和黄渤的大量旁白解说加剧了匆忙叙事的流水账感，这个短片还用了最多的明星客串，分散焦点，增加琐碎感。
张一白，6.5分，故事太简单，完全是靠任素汐的大段独白撑着，任的演技可谓信手拈来。
徐峥，7.5分，七部中的最佳，最生活气息，最显时代感，最轻松愉快。唯一值得商榷的是寻常弄堂里怎么会抛出那么大一面国旗。
薛晓路，7分，“一秒都不能少”这个点切得特别好，唯一的不足是任达华的角色设定太刻意，他的那条线也很牵强。
宁浩，5分，用“奥运”这个命题作文生造的“一件小事”，葛大爷再能演再可乐也遮不住这个故事的空洞。
陈凯歌，4.5分，把一大一小毫无关联的两件事硬凑到了一起，符合陈一贯的不着调风格。唯一值得夸的是它把故事放在了边陲。
文牧野，7分，年轻导演拍出了锐气。",还行,2019-09-28
17,胤祥,北京,"7场“最后一分钟营救”，比的就是怎么去做这个最后一分钟营救。7部评分及个人喜好排序：管虎(4)>徐铮(4)>宁浩(3)>张一白(3)>薛晓璐(2)>文牧野(2)>陈凯歌(1,或者X)。管虎开场调子定的太高后面真的不太好追……要数管虎那段最讲究，细节、方言等等都不错（王千源逆人潮而出的那个长运动镜头相当打动人）。徐铮再次搞了一个父子之家的故事，视听和调度还都蛮有想法（这段其实相当值得分析）。宁浩那段可信度实在打折扣，否则可能还会更好。张一白虽然有两段极为精彩的电影化调度（两人在公车里坐下后车外环境，以及cue[青春之歌]的人潮），但无奈整体温吞且群演实在是有点呵呵。其余几部，薛晓璐拍得比较散乱（其实和第一段可以形成复调啊！），文牧野拍得油腻，至于凯爷，真的不知道编这么个故事要干什么……",还行,2019-09-29
18,已注销,天津,我永远喜欢冬冬！,推荐,2019-09-28
19,大本张,北京,排名分先后：宁浩 张一白 徐峥 管虎 文牧野 薛晓路 陈凯歌,推荐,2019-09-30
20,影志,北京,谁能想到呢？这可能是国庆档最好看的一部。从片头王菲主题曲开始就被渲染，看之前有主旋律的刻板印象，但当故事从一个个小人物的切口开始讲述后，就会忘掉主旋律的影子，进入这些故事。2个半小时不嫌长，7个故事亲身经历后面4个，喜欢程度按：徐峥的《夺冠》>宁浩的《北京你好》>张一白的《相遇》>管虎的《前夜》>文牧野的《护航》>陈凯歌的《白昼流星》>薛晓璐的《回归》。爬上房顶的求助张罗、陈旧的《青春之歌》、屋顶上的天线超人、一秒也不能等的东方之珠、萨马兰奇送的奥运门票、回乡的人和没能实现的飞行…每一个无名的“我”都是历史书里看不到的，又可爱又鲜活。有笑有泪，原来我们就是这样在历史长河中经历了生活。,推荐,2019-09-28
21,掉线,北京,这才是主旋律电影正确的打开方式啊，没有一味强调家国情怀，几乎都是以普通人，小人物视角去切入，共鸣感和好看程度一下就上来了。戏剧化夸张也都在可接受范围内，不会有“假大空”之感。而且比较难得的是，虽然风格各异，作为故事合集却都维持在了水准之上，最喜欢的是徐峥导演的《夺冠》，明快又充满童趣。,推荐,2019-09-30
22,黄青蕉,北京,任务型电影拍成这样可以了，难得的大时代下看到一点小人性，徐峥（居然）最佳，宁浩第二，其他正常发挥，凯歌老师…emmmmm儿子特写拍太多了哈,推荐,2019-09-29
23,LOOK,上海,三星都给徐峥这段。基本就是卡萨布兰卡+繁花，唯一缺陷是冬冬长大后怎么就变成了吴京而不是胡歌。宁浩这段分寸全靠葛优掌控。管虎这是被罚再拍一次旗帜么？张一白浪费了好题材，本可以是柳云龙风筝蒙冤硬挺情节，但演员没有驾驭好，给弄成了话剧。文牧野最大亮点是雷佳音的荤段子。陈凯歌就又是虚头巴脑的玩意。薛晓璐零蛋。,还行,2019-09-29
24,西小瓜,北京,命题作文……糊弄谁呢,很差,2019-10-01
25,山鬼光影,河北石家庄,《我和我的祖国》由七位导演各执一环、按年代事件串接，虽风格各异但共成一色，十分特别。与前几个故事或昂扬或细腻或幽默不同，由陈凯歌执导、第六个亮相的《白昼流星》则大气、温暖。“李叔”于荒漠戈壁的坚守，沃德乐兄弟的迷途知返，都在陈凯歌娴熟老练的转切对接、铺垫推进中，化作沁心的感动。而故事的暖又与雄浑壮美的画面相映衬，佐证了陈凯歌的把控功力。,推荐,2019-09-28
26,咱说,"
        <span class=""profile-verify transparent"">
          作者
        </span>
      ","管虎，5.5分，败笔很多，用倒计时的字幕和黄渤的大量旁白解说加剧了匆忙叙事的流水账感，这个短片还用了最多的明星客串，分散焦点，增加琐碎感。
张一白，6.5分，故事太简单，完全是靠任素汐的大段独白撑着，任的演技可谓信手拈来。
徐峥，7.5分，七部中的最佳，最生活气息，最显时代感，最轻松愉快。唯一值得商榷的是寻常弄堂里怎么会抛出那么大一面国旗。
薛晓路，7分，“一秒都不能少”这个点切得特别好，唯一的不足是任达华的角色设定太刻意，他的那条线也很牵强。
宁浩，5分，用“奥运”这个命题作文生造的“一件小事”，葛大爷再能演再可乐也遮不住这个故事的空洞。
陈凯歌，4.5分，把一大一小毫无关联的两件事硬凑到了一起，符合陈一贯的不着调风格。唯一值得夸的是它把故事放在了边陲。
文牧野，7分，年轻导演拍出了锐气。",还行,2019-09-28
27,胤祥,北京,"7场“最后一分钟营救”，比的就是怎么去做这个最后一分钟营救。7部评分及个人喜好排序：管虎(4)>徐铮(4)>宁浩(3)>张一白(3)>薛晓璐(2)>文牧野(2)>陈凯歌(1,或者X)。管虎开场调子定的太高后面真的不太好追……要数管虎那段最讲究，细节、方言等等都不错（王千源逆人潮而出的那个长运动镜头相当打动人）。徐铮再次搞了一个父子之家的故事，视听和调度还都蛮有想法（这段其实相当值得分析）。宁浩那段可信度实在打折扣，否则可能还会更好。张一白虽然有两段极为精彩的电影化调度（两人在公车里坐下后车外环境，以及cue[青春之歌]的人潮），但无奈整体温吞且群演实在是有点呵呵。其余几部，薛晓璐拍得比较散乱（其实和第一段可以形成复调啊！），文牧野拍得油腻，至于凯爷，真的不知道编这么个故事要干什么……",还行,2019-09-29
28,已注销,天津,我永远喜欢冬冬！,推荐,2019-09-28
29,大本张,北京,排名分先后：宁浩 张一白 徐峥 管虎 文牧野 薛晓路 陈凯歌,推荐,2019-09-30
30,陆支羽,北京,1.主旋律也可以很好看，热血燃情的全民记忆，薪火相传的主创阵容，无愧国庆档第一献礼大片。2.将七个宏大历史瞬间与小人物们的喜怒哀乐紧密联结，着实更能触发国人的共情。3.影片中有太多印象至深的时刻，如“夺冠”将童年故事融合女排精神，是极具代入感的回忆杀；如“北京你好”将奥运会和汶川地震巧妙交织，同样很有力量；再如“白昼流星”是陈凯歌最拿手的从命运洪荒中挖掘人物的闪光点，不仅仅是呈现过往，更在于展望未来。,推荐,2019-09-29
31,小雏菊的刺,关注此人,《我和我的祖国》回归篇真实再现了香港回归的场景，青年演员朱一龙在其中饰演了一名护旗手，当他迈着坚定的步伐走向升旗台时，我好像也到了那个庄严肃穆的现场，那种澎湃激动的心情难以言表。,力荐,2019-09-30
32,禾子戈兀,关注此人,这样的电影注定是要带着餐巾纸去的，真的后悔自己是一个00后，感觉大事发生的时候要么自己还不在，要么就是太小了，心境不成熟。还好在我即将步入成年后，能看到这样一部电影，他深深地教会了我，永远与祖国荣辱同在，远比教科书更加深刻而有力的教法，让我急切的期待着有一天能对前辈说:幸不辱命!,力荐,2019-09-30
33,面食主义爱好者,关注此人,陈凯歌的部分是个败笔,推荐,2019-09-30
34,陈一,Singapore,陈凯歌凭一己之力把宁浩拉上去的一星又还回去了。,还行,2019-09-28
35,星星月亮太阳,关注此人,可以和这么多人一起为祖国母亲庆生，真的很感动啊！我和我的祖国，一刻也不能分割。我是个很理智的人，但看到祖国70年前进途中那么多勇闯难关，那么多无所畏惧！我为我的祖国骄傲！,力荐,2019-09-30
36,Ston3s,湖北武汉,1，剧本稀烂导演喝醉了，但演员都特别在线，故事原型太棒，以致看预告我就哭傻了。2，任素汐的感觉一直狠好，张嘉译真帅啊啊啊啊。切尔诺贝利在前，一喷水就没忍住一句shit。3，男孩太可爱了，相互最棒了。重逢那波没排球就大败笔，现在参半。4，数秒对钟都还好，结果换帽徽那块没绷住又尿了。5，葛大爷的故事太空啦，硬尬，转折也是，像春晚小品。亮点也有，倒数时葛大爷右边的女生脸上是彩虹旗🌈，宁浩呐。6，要是田导没倒地的话，个人会挺爱这个故事的。陈导的儿子真的可以。7，最顺的一个，雷佳音没说的那句应该是“你天天开飞机，我天天打飞机”吧，哈哈哈哈哈。,还行,2019-09-28
37,时间之葬,北京,"7个故事里，个人最喜欢的是宁浩的《北京你好》，葛优饰演的张北京一出场，就把老北京的市井气给活灵活现地演绎了出来，带着一点贫和痞，肚子里都是一副热心肠。宁浩一直以来擅长的幽默，在很多不经意的细节流露出来，医院的轮椅、大屏幕上的采访、以及镜头一扫而过的老布鞋，都足以让人会心一笑。

其它几个故事各有亮点：管虎的《前夜》胜在质感与氛围营造，开国大典的紧张与一个人的工作自然结合在了一起；张一白的《相遇》胜在立意，大事件后无数为之奉献的普通人，令人唏嘘动容；《夺冠》胜在谐趣，徐峥的喜剧天赋可见一斑；《回归》胜在精确，普通人与重大时刻之间，因为一块表被连接在一起；《白昼流星》有陈凯歌一贯的浪漫，这里的浪漫依托于宏大的宇宙；文牧野的《护航》胜在简练，三五个片段，把一个女飞行员的形象描绘得栩栩如生。",推荐,2019-09-30
38,二十二岛主,"<img src=""https://img3.doubanio.com/f/sns/d7ae4d4dbb848a408708f631fbd660e788c3c773/pics/sns/people/medal_kind1.png"" height=""20"" />",与其说是献礼的命题作文，不如看成一场难得的“华山论剑”，七位导演各展绝技讲述国家发展历程中小人物的故事，很接地气，由于擅长的领域和创作风格不同，最后呈现出的效果也不尽相同，但这种以小见大的思路是对的。个人最喜欢宁浩的故事，还是一如既往的黑色幽默，将一个看上去有些“贫”的故事讲的妙趣横生，展现出了很强的掌控力，而且并没有过分煽情。这和葛大爷传神的演技有关，也和扎实的剧本有关。其他几位导演发挥的也比较平稳，整体来说算是为献礼片开拓了一条新的道路。,推荐,2019-09-30
39,樹,四川成都,如果建国史是一个成年人的话，他是具有深度遗忘症的人，只有童年和中年的记忆，不反思、不回忆。他的回忆方程式是中年的成功全源自童年记忆。参与国史写作的人是被挑选的，真正的人民都是煽情故事的背景板。中国导演对戏剧是不是有误解，他们的三板斧：1.煽情、最后一分钟营救，感动是第一要务。 2.人物成年的努力一定来自童年。3.高昂的歌曲必定是奏响，人多力量大。 陈凯歌导演写作文连逻辑都不要了。,较差,2019-10-02
40,小雏菊的刺,关注此人,《我和我的祖国》回归篇真实再现了香港回归的场景，青年演员朱一龙在其中饰演了一名护旗手，当他迈着坚定的步伐走向升旗台时，我好像也到了那个庄严肃穆的现场，那种澎湃激动的心情难以言表。,力荐,2019-09-30
41,陈一,Singapore,陈凯歌凭一己之力把宁浩拉上去的一星又还回去了。,还行,2019-09-28
42,禾子戈兀,关注此人,这样的电影注定是要带着餐巾纸去的，真的后悔自己是一个00后，感觉大事发生的时候要么自己还不在，要么就是太小了，心境不成熟。还好在我即将步入成年后，能看到这样一部电影，他深深地教会了我，永远与祖国荣辱同在，远比教科书更加深刻而有力的教法，让我急切的期待着有一天能对前辈说:幸不辱命!,力荐,2019-09-30
43,Ston3s,湖北武汉,1，剧本稀烂导演喝醉了，但演员都特别在线，故事原型太棒，以致看预告我就哭傻了。2，任素汐的感觉一直狠好，张嘉译真帅啊啊啊啊。切尔诺贝利在前，一喷水就没忍住一句shit。3，男孩太可爱了，相互最棒了。重逢那波没排球就大败笔，现在参半。4，数秒对钟都还好，结果换帽徽那块没绷住又尿了。5，葛大爷的故事太空啦，硬尬，转折也是，像春晚小品。亮点也有，倒数时葛大爷右边的女生脸上是彩虹旗🌈，宁浩呐。6，要是田导没倒地的话，个人会挺爱这个故事的。陈导的儿子真的可以。7，最顺的一个，雷佳音没说的那句应该是“你天天开飞机，我天天打飞机”吧，哈哈哈哈哈。,还行,2019-09-28
44,时间之葬,北京,"7个故事里，个人最喜欢的是宁浩的《北京你好》，葛优饰演的张北京一出场，就把老北京的市井气给活灵活现地演绎了出来，带着一点贫和痞，肚子里都是一副热心肠。宁浩一直以来擅长的幽默，在很多不经意的细节流露出来，医院的轮椅、大屏幕上的采访、以及镜头一扫而过的老布鞋，都足以让人会心一笑。

其它几个故事各有亮点：管虎的《前夜》胜在质感与氛围营造，开国大典的紧张与一个人的工作自然结合在了一起；张一白的《相遇》胜在立意，大事件后无数为之奉献的普通人，令人唏嘘动容；《夺冠》胜在谐趣，徐峥的喜剧天赋可见一斑；《回归》胜在精确，普通人与重大时刻之间，因为一块表被连接在一起；《白昼流星》有陈凯歌一贯的浪漫，这里的浪漫依托于宏大的宇宙；文牧野的《护航》胜在简练，三五个片段，把一个女飞行员的形象描绘得栩栩如生。",推荐,2019-09-30
45,柯里昂,北京,功绩和成就需要被歌颂，主旋律电影存在的合理性也从未被质疑过，与此同时如果能一并回头看看那些被遗忘的和没被正视过的苦痛，或许才是真正的进步。电影本身能看（三部之中），毕竟最好的资源都给到位了，作为献礼片难免会让人联想到2009年的那部，十年过去，跟涨了十倍的票房相比，中国电影在其它方面做出的努力和觉悟实在太缓慢太微不足道了。,还行,2019-09-29
46,王大根,北京,"How to abandon your personal life for your c*untry, 七个故事里张一白拍的那个果然是最可怕的",还行,2019-09-28
47,星星月亮太阳,关注此人,可以和这么多人一起为祖国母亲庆生，真的很感动啊！我和我的祖国，一刻也不能分割。我是个很理智的人，但看到祖国70年前进途中那么多勇闯难关，那么多无所畏惧！我为我的祖国骄傲！,力荐,2019-09-30
48,师兄亚克西𓃵,上海,爱国不是什么难的事情，爱国只是和自己的国家所经历的一切产生共情而已。,力荐,2019-09-28
49,Alex,关注此人,气势恢弘，震撼人心！很多画面直接哭成狗！不说了，二刷走起！,力荐,2019-09-30
50,招财猫,上海,《我和我的祖国》汇集7位著名的导演，集合国内最优秀的演员，从“前夜”开始，经历“相遇”，看女排“夺冠”，了解香港“回归”祖国怀抱的一秒也不差。与奥运说一声“北京你好”，再观“白昼流星”与“护航”。我心潮澎拜，自豪油然而生，愿祖国永远繁荣昌盛。,力荐,2019-09-30
51,正义B胜,北京,电影其实讲的就是：为了你的祖国，你可以牺牲多少？从这个角度，当然是越软的我越喜欢，比如很多人说最烂的陈凯歌那支，因为是爱国浓度最低的，我就还挺喜欢的。基本按这个观感排序就是：宁浩＞陈凯歌＞文牧野＞徐峥＞管虎＞张一白＞薛晓路。,还行,2019-09-28
52,梅子黄时雨,上海,《北京你好》很逗，《回归》很真实，《护航》很燃，《相遇》催泪，《夺冠》诙谐，《前夜》珍贵，《白昼流星》点燃希望。新中国成立70年了，用7个故事来致敬历史展望未来，喜欢。,力荐,2019-09-30
53,绿猫帽毛,北京,"个人认为管虎这次命题作文无疑是学习委员级别的，起带头作用，调度高运镜好切入点优秀情绪也饱满收尾还做了细节处理。张一白像语文课代表，由大入小，家国情怀糅合了男女纯情，如果从书面上看一定是极具辞藻特色的。公交车里任素汐那段讲述配上张译层层递进的眼神在我看来蛮不错，不觉得任素汐讲的空洞。徐峥仿佛是体育委员第一次参与考试，专挑自己拿手的。从乒乓球到排球，从上房顶到穿街巷，动词一个不落的跃然纸上，充满了活力。不过临了差点写跑题，好在给圆回来了，就是有点儿太着急交卷。宁浩应该是坐在教室后排不怎么听讲但有天赋到让老师又爱又恨的学生，经常出奇制胜，只要灵光乍现就会一气呵成。比如他想到了这次的主人公是葛优，于是麻利儿搞完放学。
这是我心里对前四名的感受，后三名不点评了，原先都当过三好，大概本轮发挥失常。",null,2019-09-30
54,雪柠,关注此人,为祖国这七十年热泪盈眶，前辈不易，吾当自强！,力荐,2019-09-30
55,安东,山东青岛,就像什么呢，就像一个小伙子想对女孩表达爱意，有太多的甜言蜜语可讲，而七个小伙儿一拥而上同时表白，除了“爱爱爱”就听不到别的声音了，慷慨激昂又空洞苍白。,较差,2019-09-30
56,陀螺凡达可,"Paris, France",宁浩>管虎>徐峥>张一白>陈凯歌>文牧野>薛晓路,null,2019-09-30
57,单于立,上海,《白昼流星》那集看得痛哭流涕，把主旋律命题作文拍出了《平凡的世界》的感觉,还行,2019-09-28
58,小圆子,北京,"部分与部分之间的衔接不太好。
配乐是谁你出来，不管哪一part音乐都很硬很尴尬
北京你好 本北京人很惊喜
回归 护航 白昼流星 及格以下",还行,2019-09-30
59,吟啸且徐行,关注此人,七个故事，好像七个梦，七个新中国的炎黄子孙共同的梦。一代一代的中国人，用华夏儿女的顽强和坚守，把这些梦一个一个实现！电影真的太感人了！！我为自己是中国人由衷感到自豪！,力荐,2019-09-30
60,招财猫,上海,《我和我的祖国》汇集7位著名的导演，集合国内最优秀的演员，从“前夜”开始，经历“相遇”，看女排“夺冠”，了解香港“回归”祖国怀抱的一秒也不差。与奥运说一声“北京你好”，再观“白昼流星”与“护航”。我心潮澎拜，自豪油然而生，愿祖国永远繁荣昌盛。,力荐,2019-09-30
61,正义B胜,北京,电影其实讲的就是：为了你的祖国，你可以牺牲多少？从这个角度，当然是越软的我越喜欢，比如很多人说最烂的陈凯歌那支，因为是爱国浓度最低的，我就还挺喜欢的。基本按这个观感排序就是：宁浩＞陈凯歌＞文牧野＞徐峥＞管虎＞张一白＞薛晓路。,还行,2019-09-28
62,梅子黄时雨,上海,《北京你好》很逗，《回归》很真实，《护航》很燃，《相遇》催泪，《夺冠》诙谐，《前夜》珍贵，《白昼流星》点燃希望。新中国成立70年了，用7个故事来致敬历史展望未来，喜欢。,力荐,2019-09-30
63,绿猫帽毛,北京,"个人认为管虎这次命题作文无疑是学习委员级别的，起带头作用，调度高运镜好切入点优秀情绪也饱满收尾还做了细节处理。张一白像语文课代表，由大入小，家国情怀糅合了男女纯情，如果从书面上看一定是极具辞藻特色的。公交车里任素汐那段讲述配上张译层层递进的眼神在我看来蛮不错，不觉得任素汐讲的空洞。徐峥仿佛是体育委员第一次参与考试，专挑自己拿手的。从乒乓球到排球，从上房顶到穿街巷，动词一个不落的跃然纸上，充满了活力。不过临了差点写跑题，好在给圆回来了，就是有点儿太着急交卷。宁浩应该是坐在教室后排不怎么听讲但有天赋到让老师又爱又恨的学生，经常出奇制胜，只要灵光乍现就会一气呵成。比如他想到了这次的主人公是葛优，于是麻利儿搞完放学。
这是我心里对前四名的感受，后三名不点评了，原先都当过三好，大概本轮发挥失常。",null,2019-09-30
64,雪柠,关注此人,为祖国这七十年热泪盈眶，前辈不易，吾当自强！,力荐,2019-09-30
65,安东,山东青岛,就像什么呢，就像一个小伙子想对女孩表达爱意，有太多的甜言蜜语可讲，而七个小伙儿一拥而上同时表白，除了“爱爱爱”就听不到别的声音了，慷慨激昂又空洞苍白。,较差,2019-09-30
66,陀螺凡达可,"Paris, France",宁浩>管虎>徐峥>张一白>陈凯歌>文牧野>薛晓路,null,2019-09-30
67,单于立,上海,《白昼流星》那集看得痛哭流涕，把主旋律命题作文拍出了《平凡的世界》的感觉,还行,2019-09-28
68,小圆子,北京,"部分与部分之间的衔接不太好。
配乐是谁你出来，不管哪一part音乐都很硬很尴尬
北京你好 本北京人很惊喜
回归 护航 白昼流星 及格以下",还行,2019-09-30
69,吟啸且徐行,关注此人,七个故事，好像七个梦，七个新中国的炎黄子孙共同的梦。一代一代的中国人，用华夏儿女的顽强和坚守，把这些梦一个一个实现！电影真的太感人了！！我为自己是中国人由衷感到自豪！,力荐,2019-09-30
70,La vie,"Seoul (Sŏul), South Korea","妈！！！！！！！！！！
生日快乐！！！！！！！！",力荐,2019-09-30
71,男娼起义,关注此人,让海潮伴我来保佑你 请别忘记我 永远不变 黄色的脸,null,2019-09-28
72,Paco,北京,好就好在，是名副其实的“我和我的祖国”，而不仅仅是“我爱我的祖国”。,null,2019-09-30
73,perper,辽宁大连,"《我和我的祖国》七位导演评分
管虎30
张一白0
徐铮60
薛晓路10
宁浩95
陈凯歌30
文牧野45",力荐,2019-09-28
74,哟~,天津,看了电影，我只能说，厉害了，我的国！我很自豪和骄傲，真的！,力荐,2019-09-30
75,二十二岛主,"<img src=""https://img3.doubanio.com/f/sns/d7ae4d4dbb848a408708f631fbd660e788c3c773/pics/sns/people/medal_kind1.png"" height=""20"" />",与其说是献礼的命题作文，不如看成一场难得的“华山论剑”，七位导演各展绝技讲述国家发展历程中小人物的故事，很接地气，由于擅长的领域和创作风格不同，最后呈现出的效果也不尽相同，但这种以小见大的思路是对的。个人最喜欢宁浩的故事，还是一如既往的黑色幽默，将一个看上去有些“贫”的故事讲的妙趣横生，展现出了很强的掌控力，而且并没有过分煽情。这和葛大爷传神的演技有关，也和扎实的剧本有关。其他几位导演发挥的也比较平稳，整体来说算是为献礼片开拓了一条新的道路。,推荐,2019-09-30
76,卉子❤,陕西西安,这样的爱国教育我接受,力荐,2019-09-30
77,雾里看花,"Kābol, Afghanistan",一部好的电影、好的作品总是能激起观众对真善美的追求和认同，就像这部集结了中国电影梦之队的献礼片，从小人物的角度见证大中国的变迁，每一个故事都催人热泪，爱国的情怀真的是根植在每个华夏儿女的血脉深处，试问哪一个中国人又不是“此生无悔入华夏，来世还在中华家。”！,力荐,2019-09-30
78,Elly,关注此人,本以为拼盘电影没什么看头，没想到却是个非常成功的献礼片，无数次泪目，惠英红太帅了，葛优的表现一如既往地稳，昊然弟弟演出了浑然天成的痞，特别突破,力荐,2019-09-30
79,徐若风,浙江杭州,"每个故事都采取了平民化的个体视角，对70年的7个“核心现场”进行了有趣的拆解，比预期出彩。
《夺冠》：徐峥竟然拿小孩的“怦然心动”拍“女排夺冠”，太浪漫了。上海石库门的背景环境，风格可参考上世纪的沪语喜剧。
《相遇》：一场身不在场的“原子弹爆炸”、充满悲情的死生契阔。在人潮中被冲散的对视是点睛之笔。
《北京你好》：“奥运奇遇记”，葛优一口京片子把这个失落的中年男人演活了，宁浩喜剧的正常发挥。
《护航》：文牧野在情感处理上很细腻，借由阅兵来不断打捞女飞行员成长的心路历程。
《前夜》《回归》：都是关于典礼背后刺激的争分夺秒，演员群戏突出。
《白昼流星》：将“新农村扶贫”和“航天航空事业”两件事糅在一起，构成互为牵引的关系。",推荐,2019-09-30
80,La vie,"Seoul (Sŏul), South Korea","妈！！！！！！！！！！
生日快乐！！！！！！！！",力荐,2019-09-30
81,男娼起义,关注此人,让海潮伴我来保佑你 请别忘记我 永远不变 黄色的脸,null,2019-09-28
82,Paco,北京,好就好在，是名副其实的“我和我的祖国”，而不仅仅是“我爱我的祖国”。,null,2019-09-30
83,perper,辽宁大连,"《我和我的祖国》七位导演评分
管虎30
张一白0
徐铮60
薛晓路10
宁浩95
陈凯歌30
文牧野45",力荐,2019-09-28
84,哟~,天津,看了电影，我只能说，厉害了，我的国！我很自豪和骄傲，真的！,力荐,2019-09-30
